Sat Apr 12 15:55:56 2025    profiling-http.prof

         814366 function calls (782130 primitive calls) in 1.393 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      265    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/overrides.py:105(array_function_dispatch)
      259    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      258    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      258    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/_config/__init__.py:34(using_copy_on_write)
      257    0.000    0.000    0.000    0.000 /usr/lib/python3.12/hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 /usr/lib/python3.12/hmac.py:20(<genexpr>)
      250    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:231(__init__)
      248    0.000    0.000    0.000    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1399(_get_dtype)
      248    0.000    0.000    0.004    0.000 /usr/lib/python3.12/re/_parser.py:98(closegroup)
      248    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:86(opengroup)
      243    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      243    0.001    0.000    0.006    0.000 /usr/lib/python3.12/re/_compiler.py:511(_compile_info)
      243    0.000    0.000    0.053    0.000 /usr/lib/python3.12/re/_parser.py:969(parse)
      243    0.001    0.000    0.084    0.000 /usr/lib/python3.12/re/_compiler.py:740(compile)
      243    0.000    0.000    0.000    0.000 /usr/lib/python3.12/inspect.py:3045(<genexpr>)
      243    0.000    0.000    0.031    0.000 /usr/lib/python3.12/re/_compiler.py:573(_code)
      243    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:77(__init__)
      243    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:953(fix_flags)
      241    0.000    0.000    0.003    0.000 /usr/lib/python3.12/typing.py:345(_remove_dups_flatten)
      241    0.001    0.000    0.013    0.000 /usr/lib/python3.12/typing.py:687(Union)
      234    0.000    0.000    0.000    0.000 /usr/lib/python3.12/collections/__init__.py:429(<genexpr>)
      230    0.001    0.000    0.003    0.000 /home/simmonsc/Desktop/DS_Bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/simmonsc/lib/python3.12/site-packages/numpy/_core/overrides.py:83(verify_matching_signatures)
